"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2820  ","華票            ","755,000","44,000","711,000","0","0","0","755,000","44,000","711,000",
" ","3006  ","晶豪科          ","8,482,098","7,784,239","697,859","0","0","0","8,482,098","7,784,239","697,859",
" ","1451  ","年興            ","891,000","213,000","678,000","0","0","0","891,000","213,000","678,000",
" ","6706  ","惠特            ","3,224,000","2,572,000","652,000","0","0","0","3,224,000","2,572,000","652,000",
" ","1722  ","台肥            ","966,000","356,000","610,000","0","0","0","966,000","356,000","610,000",
" ","2886  ","兆豐金          ","5,002,736","4,418,359","584,377","0","0","0","5,002,736","4,418,359","584,377",
" ","1218  ","泰山            ","616,000","38,000","578,000","0","0","0","616,000","38,000","578,000",
" ","1102  ","亞泥            ","2,728,308","2,160,932","567,376","0","0","0","2,728,308","2,160,932","567,376",
" ","8261  ","富鼎            ","2,609,000","2,047,000","562,000","0","0","0","2,609,000","2,047,000","562,000",
" ","6443  ","元晶            ","3,141,000","2,582,350","558,650","0","0","0","3,141,000","2,582,350","558,650",
" ","3607  ","谷崧            ","897,000","348,000","549,000","0","0","0","897,000","348,000","549,000",
" ","3045  ","台灣大          ","813,888","272,561","541,327","0","0","0","813,888","272,561","541,327",
" ","6142  ","友勁            ","710,000","175,000","535,000","0","0","0","710,000","175,000","535,000",
" ","2474  ","可成            ","925,336","400,876","524,460","0","0","0","925,336","400,876","524,460",
" ","3005  ","神基            ","1,290,000","768,000","522,000","0","0","0","1,290,000","768,000","522,000",
" ","1103  ","嘉泥            ","588,000","99,000","489,000","0","0","0","588,000","99,000","489,000",
" ","3711  ","日月光投控      ","4,257,482","3,776,514","480,968","0","0","0","4,257,482","3,776,514","480,968",
" ",="006208","富邦台50        ","748,375","280,000","468,375","0","0","0","748,375","280,000","468,375",
" ","1783  ","和康生          ","946,000","508,000","438,000","0","0","0","946,000","508,000","438,000",
" ","1464  ","得力            ","466,000","33,000","433,000","0","0","0","466,000","33,000","433,000",
" ","2608  ","嘉里大榮        ","640,000","215,000","425,000","0","0","0","640,000","215,000","425,000",
" ","3591  ","艾笛森          ","1,217,000","799,000","418,000","0","0","0","1,217,000","799,000","418,000",
" ","5434  ","崇越            ","447,000","29,000","418,000","0","0","0","447,000","29,000","418,000",
" ","4956  ","光鋐            ","2,190,050","1,774,000","416,050","0","0","0","2,190,050","1,774,000","416,050",
" ",="00643 ","群益深証中小    ","420,000","5,000","415,000","0","0","0","420,000","5,000","415,000",
" ",="00739 ","元大MSCI A股    ","433,000","32,000","401,000","0","0","0","433,000","32,000","401,000",
" ","2610  ","華航            ","12,817,025","12,419,000","398,025","0","0","0","12,817,025","12,419,000","398,025",
" ","2301  ","光寶科          ","1,908,728","1,517,614","391,114","0","0","0","1,908,728","1,517,614","391,114",
" ","1710  ","東聯            ","895,000","507,000","388,000","0","0","0","895,000","507,000","388,000",
" ","1603  ","華電            ","596,000","210,000","386,000","0","0","0","596,000","210,000","386,000",
" ","6226  ","光鼎            ","403,600","23,000","380,600","0","0","0","403,600","23,000","380,600",
" ","6215  ","和椿            ","1,259,000","885,000","374,000","0","0","0","1,259,000","885,000","374,000",
" ","6196  ","帆宣            ","1,356,000","997,000","359,000","0","0","0","1,356,000","997,000","359,000",
" ","1708  ","東鹼            ","1,063,000","714,000","349,000","0","0","0","1,063,000","714,000","349,000",
" ","2028  ","威致            ","1,145,000","796,000","349,000","0","0","0","1,145,000","796,000","349,000",
" ","2104  ","國際中橡        ","800,000","452,000","348,000","0","0","0","800,000","452,000","348,000",
" ","2801  ","彰銀            ","2,385,428","2,042,000","343,428","0","0","0","2,385,428","2,042,000","343,428",
" ","2534  ","宏盛            ","420,000","84,000","336,000","0","0","0","420,000","84,000","336,000",
" ","8367  ","建新國際        ","608,000","275,000","333,000","0","0","0","608,000","275,000","333,000",
" ","3296  ","勝德            ","562,000","237,000","325,000","0","0","0","562,000","237,000","325,000",
" ","1806  ","冠軍            ","737,000","417,000","320,000","0","0","0","737,000","417,000","320,000",
