"110年07月20日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","9917  ","中保科          ","213,000","35,000","178,000","0","0","0","213,000","35,000","178,000",
" ","1720  ","生達            ","194,000","17,000","177,000","0","0","0","194,000","17,000","177,000",
" ","3056  ","總太            ","273,000","96,000","177,000","0","0","0","273,000","96,000","177,000",
" ","2542  ","興富發          ","646,896","472,000","174,896","0","0","0","646,896","472,000","174,896",
" ","3712  ","永崴投控        ","771,000","608,000","163,000","0","0","0","771,000","608,000","163,000",
" ","2527  ","宏璟            ","218,000","61,000","157,000","0","0","0","218,000","61,000","157,000",
" ","6405  ","悅城            ","356,000","202,000","154,000","0","0","0","356,000","202,000","154,000",
" ","8046  ","南電            ","1,194,992","1,043,996","150,996","0","0","0","1,194,992","1,043,996","150,996",
" ","1102  ","亞泥            ","1,714,215","1,563,500","150,715","0","0","0","1,714,215","1,563,500","150,715",
" ","3532  ","台勝科          ","267,000","117,000","150,000","0","0","0","267,000","117,000","150,000",
" ","8110  ","華東            ","3,378,000","3,232,000","146,000","0","0","0","3,378,000","3,232,000","146,000",
" ","6243  ","迅杰            ","488,000","346,000","142,000","0","0","0","488,000","346,000","142,000",
" ","2017  ","官田鋼          ","2,180,000","2,039,000","141,000","0","0","0","2,180,000","2,039,000","141,000",
" ","4934  ","太極            ","1,010,000","869,000","141,000","0","0","0","1,010,000","869,000","141,000",
" ","1528  ","恩德            ","315,000","175,000","140,000","0","0","0","315,000","175,000","140,000",
" ","2379  ","瑞昱            ","966,000","827,100","138,900","0","0","0","966,000","827,100","138,900",
" ","3535  ","晶彩科          ","183,000","45,000","138,000","0","0","0","183,000","45,000","138,000",
" ",="00730 ","富邦臺灣優質高息","186,000","49,000","137,000","0","0","0","186,000","49,000","137,000",
" ","2535  ","達欣工          ","558,000","422,000","136,000","0","0","0","558,000","422,000","136,000",
